topics,domain_normalized,domain,subscription_status,evidence_url,pricing_url,pricing_url_method,pricing_page_ok,dynamic_components,popup_overlay,detected_prices,wayback_available,wayback_url,wayback_page_ok,notes
"528,129,126,243,140",01net com,01net.com,no subscription,https://01net.com,,,,,,,,,,
245,021 rs,021.rs,no subscription,https://021.rs,,,,,,,,,,
243,0223 com ar,0223.com.ar,no subscription,https://0223.com.ar,,,,,,,,,,
245,0352 ua,0352.ua,no subscription,https://0352.ua,,,,,,,,,,
"239,243",06v1mv c97 org,06v1mv.c97.org,no subscription,https://06v1mv.c97.org,,,,,,,,,,
350,10 nbryb com,10.nbryb.com,inaccessible,,,,,,,,,,,
"12,350",10bahisno1 com,10bahisno1.com,inaccessible,,,,,,,,,,,
"365,363,243",13 cl,13.cl,no subscription,https://13.cl,,,,,,,,,,
"351,400",13dl to,13dl.to,inaccessible,,,,,,,,,,,
"1,243",15min lt,15min.lt,no subscription,https://15min.lt,,,,,,,,,,
"249,245",161 ru,161.ru,no subscription,https://161.ru,,,,,,,,,,
243,168 hu,168.hu,no subscription,https://168.hu,,,,,,,,,,
245,180graus com,180graus.com,no subscription,https://180graus.com,,,,,,,,,,
243,1boonnews com,1boonnews.com,no subscription,https://1boonnews.com,,,,,,,,,,
243,1news co nz,1news.co.nz,no subscription,https://1news.co.nz,,,,,,,,,,
"365,363,12,243",1plus1 ua,1plus1.ua,no subscription,https://1plus1.ua,,,,,,,,,,
561,1prime ru,1prime.ru,no subscription,https://1prime.ru,,,,,,,,,,
"299,325,243",1xbet whoscored com,1xbet.whoscored.com,inaccessible,,,,,,,,,,,
350,2 nbryb com,2.nbryb.com,inaccessible,,,,,,,,,,,
"1,243",20 detik com,20.detik.com,no subscription,https://20.detik.com,,,,,,,,,,
243,20min ch,20min.ch,no subscription,https://20min.ch,,,,,,,,,,
243,20minutes fr,20minutes.fr,no subscription,https://20minutes.fr,,,,,,,,,,
243,20minutos es,20minutos.es,no subscription,https://20minutos.es,,,,,,,,,,
"164,561",225225 jp,225225.jp,no subscription,https://225225.jp,,,,,,,,,,
243,24 hu,24.hu,no subscription,https://24.hu,,,,,,,,,,
243,24 kg,24.kg,no subscription,https://24.kg,,,,,,,,,,
243,24 sapo pt,24.sapo.pt,no subscription,https://24.sapo.pt,,,,,,,,,,
"299,243",247sports com,247sports.com,inaccessible,,,,,,,,,,,
243,24chasa bg,24chasa.bg,no subscription,https://24chasa.bg,,,,,,,,,,
243,24h com vn,24h.com.vn,no subscription,https://24h.com.vn,,,,,,,,,,
243,24horas cl,24horas.cl,no subscription,https://24horas.cl,,,,,,,,,,
243,24l7 news com,24l7-news.com,inaccessible,,,,,,,,,,,
"243,1",24sata hr,24sata.hr,no subscription,https://24sata.hr,,,,,,,,,,
"245,249,561,1",24sedam rs,24sedam.rs,no subscription,https://24sedam.rs,,,,,,,,,,
243,24smi org,24smi.org,no subscription,https://24smi.org,,,,,,,,,,
"299,325,243",24sports com cy,24sports.com.cy,no subscription,https://24sports.com.cy,,,,,,,,,,
245,24tp pl,24tp.pl,no subscription,https://24tp.pl,,,,,,,,,,
243,24tv ua,24tv.ua,no subscription,https://24tv.ua,,,,,,,,,,
243,24ur com,24ur.com,no subscription,https://24ur.com,,,,,,,,,,
"561,151,239",26 2 ru,26-2.ru,no subscription,https://26-2.ru,,,,,,,,,,
"299,304,243",2kmtcentral com,2kmtcentral.com,inaccessible,,,,,,,,,,,
"304,299,243",2kratings com,2kratings.com,inaccessible,,,,,,,,,,,
"250,243",2nn jp,2nn.jp,inaccessible,,,,,,,,,,,
"350,23",2sao vn,2sao.vn,no subscription,https://2sao.vn,,,,,,,,,,
"86,254,350",3 nbryb com,3.nbryb.com,inaccessible,,,,,,,,,,,
"299,243",365scores com,365scores.com,no subscription,https://365scores.com,,,,,,,,,,
243,3bmeteo com,3bmeteo.com,no subscription,https://3bmeteo.com,,,,,,,,,,
"607,126,243",3c ltn com tw,3c.ltn.com.tw,no subscription,https://3c.ltn.com.tw,,,,,,,,,,
"126,243",3dnews ru,3dnews.ru,no subscription,https://3dnews.ru,,,,,,,,,,
"607,528,126,243",3edda com,3edda.com,inaccessible,,,,,,,,,,,
243,3g 163 com,3g.163.com,no subscription,https://3g.163.com,,,,,,,,,,
"253,215,126,140,250,243",3ssem com,3ssem.com,inaccessible,,,,,,,,,,,
243,444 hu,444.hu,no subscription,https://444.hu,,,,,,,,,,
243,47news ru,47news.ru,no subscription,https://47news.ru,,,,,,,,,,
"126,243",4pda ru,4pda.ru,inaccessible,,,,,,,,,,,
"126,243",4pda to,4pda.to,inaccessible,,,,,,,,,,,
243,5 nbryb com,5.nbryb.com,inaccessible,,,,,,,,,,,
"363,243",5 ua,5.ua,no subscription,https://5.ua,,,,,,,,,,
"363,299,243,1",515 tv,515.tv,no subscription,https://515.tv,,,,,,,,,,
"1,243",55online news,55online.news,no subscription,https://55online.news,,,,,,,,,,
"245,215,1",5692 com ua,5692.com.ua,no subscription,https://5692.com.ua,,,,,,,,,,
245,59 ru,59.ru,no subscription,https://59.ru,,,,,,,,,,
245,5min at,5min.at,no subscription,https://5min.at,,,,,,,,,,
243,5nhaber com,5nhaber.com,no subscription,https://5nhaber.com,,,,,,,,,,
243,61saat com,61saat.com,no subscription,https://61saat.com,,,,,,,,,,
243,63 ru,63.ru,no subscription,https://63.ru,,,,,,,,,,
243,65ymas com,65ymas.com,inaccessible,,,,,,,,,,,
"363,243",6abc com,6abc.com,no subscription,https://6abc.com,,,,,,,,,,
243,6park com,6park.com,no subscription,https://6park.com,,,,,,,,,,
243,6parknews com,6parknews.com,no subscription,https://6parknews.com,,,,,,,,,,
"1,243",72 ru,72.ru,no subscription,https://72.ru,,,,,,,,,,
245,73online ru,73online.ru,no subscription,https://73online.ru,,,,,,,,,,
245,74 ru,74.ru,inaccessible,,,,,,,,,,,
245,76 ru,76.ru,no subscription,https://76.ru,,,,,,,,,,
350,7jours ca,7jours.ca,no subscription,https://7jours.ca,,,,,,,,,,
"299,243",7mscorethai com,7mscorethai.com,no subscription,https://7mscorethai.com,,,,,,,,,,
243,7news com au,7news.com.au,no subscription,https://7news.com.au,,,,,,,,,,
243,7sur7 be,7sur7.be,no subscription,https://7sur7.be,,,,,,,,,,
"299,243",888scoreonline com,888scoreonline.com,no subscription,https://888scoreonline.com,,,,,,,,,,
243,8world com,8world.com,no subscription,https://8world.com,,,,,,,,,,
"86,254,350",9 nbryb com,9.nbryb.com,inaccessible,,,,,,,,,,,
247,902 gr,902.gr,inaccessible,,,,,,,,,,,
"299,243",90bola me,90bola.me,no subscription,https://90bola.me,,,,,,,,,,
"299,325,243",90bola mobi,90bola.mobi,inaccessible,,,,,,,,,,,
"299,325,243",90min com,90min.com,no subscription,https://90min.com,,,,,,,,,,
"325,299,243",90minut pl,90minut.pl,inaccessible,,,,,,,,,,,
"299,243",91phut com,91phut.com,no subscription,https://91phut.com,,,,,,,,,,
243,93 ru,93.ru,no subscription,https://93.ru,,,,,,,,,,
"365,12,363,350",9jarocks com,9jarocks.com,no subscription,https://9jarocks.com,,,,,,,,,,
243,9news com,9news.com,no subscription,https://9news.com,,,,,,,,,,
243,9news com au,9news.com.au,subscription,https://9news.com.au,https://www.9news.com.au/,fallback_homepage,yes,yes,no,$5; $2; $9,no,,no,likely JS-rendered content
"126,243",9to5google com,9to5google.com,subscription,https://9to5google.com/2018/07/30/digital-subscription-costs/,https://9to5google.com/2021/10/08/join-google-pixel-superfans/,common_path,yes,yes,yes,,yes,http://web.archive.org/web/20250723185513/https://9to5google.com/2021/10/08/join-google-pixel-superfans/,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
"140,126,243",9to5mac com,9to5mac.com,subscription,https://9to5mac.com/2019/08/05/subscription-apps/,https://9to5mac.com/2026/01/14/subscriptions-carried-app-economy-as-downloads-declined-in-2025-appfigures/,common_path,yes,yes,yes,$155; $82; $72; $55; $33; $21,yes,http://web.archive.org/web/20260116111832/https://9to5mac.com/2026/01/14/subscriptions-carried-app-economy-as-downloads-declined-in-2025-appfigures/,yes,likely JS-rendered content | possible modal or overlay UI
243,9tv co il,9tv.co.il,inaccessible,,,,,,,,,,,
243,a1 ro,a1.ro,no subscription,https://a1.ro,,,,,,,,,,
243,a24 com,a24.com,inaccessible,,,,,,,,,,,
243,aa com tr,aa.com.tr,inaccessible,,,,,,,,,,,
243,aabbir com,aabbir.com,no subscription,https://aabbir.com,,,,,,,,,,
"245,243",aachener zeitung de,aachener-zeitung.de,no subscription,https://aachener-zeitung.de,,,,,,,,,,
243,aajtak in,aajtak.in,no subscription,https://aajtak.in,,,,,,,,,,
"363,243,1",aamulehti fi,aamulehti.fi,no subscription,https://aamulehti.fi,,,,,,,,,,
561,aastocks com,aastocks.com,no subscription,https://aastocks.com,,,,,,,,,,
243,aawsat com,aawsat.com,inaccessible,,,,,,,,,,,
243,abc com py,abc.com.py,no subscription,https://abc.com.py,,,,,,,,,,
243,abc es,abc.es,no subscription,https://abc.es,,,,,,,,,,
