domain_normalized,domain,pricing_url,pricing_url_method,dynamic_components,popup_overlay,notes
afr com,afr.com,https://subscribe.afr.com,common_path,no,no,
ajc com,ajc.com,https://www.ajc.com/start,common_path,yes,no,likely JS-rendered content
archaeology org,archaeology.org,https://archaeology.org/subscribe,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
architecturaldigest com,architecturaldigest.com,https://www.architecturaldigest.com/v2/offers/arda01029?source=SITE_0_HCL_ARD_MAGSUBHOME_0_CAMPAIGN_ROTATION_2024_ZZ,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
arstechnica com,arstechnica.com,https://arstechnica.com/subscribe,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
azcentral com,azcentral.com,https://subscribe.azcentral.com/offers,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
barandbench com,barandbench.com,https://www.barandbench.com/subscription,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
bbc com,bbc.com,https://www.bbc.com/subscribe,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
bigthink com,bigthink.com,https://bigthink.com/subscribe,common_path,yes,no,no prices found in static HTML | likely JS-rendered content
boston com,boston.com,https://www.boston.com,common_path,no,no,
bostonglobe com,bostonglobe.com,https://subscribe.bostonglobe.com//B1209,common_path,no,no,
br tradingview com,br.tradingview.com,https://br.tradingview.com/pricing,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
buffalonews com,buffalonews.com,https://subscribe.buffalonews.com/subscribe/?Domain=buffalonews.com&SubscriberLevel=DOP,common_path,yes,no,no prices found in static HTML | likely JS-rendered content
businessinsider com,businessinsider.com,https://www.businessinsider.com/subscription,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
businesslive co za,businesslive.co.za,https://www.businessday.co.za/checkout,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
businesstoday in,businesstoday.in,https://subscriptions.intoday.in/businesstoday?utm_source=website,common_path,yes,no,no prices found in static HTML | likely JS-rendered content
bwoodtadka com,bwoodtadka.com,https://bwoodtadka.com/membership-join,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
caranddriver com,caranddriver.com,https://store.caranddriver.com/car-and-driver-magazine-subscription.html?source=cdb_edit_subscribe_vanityurl,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI | physical magazine/newspaper subscription
channel3000 com,channel3000.com,https://www.channel3000.com/madison-magazine/about-us/manage-subscriptions,homepage_link,yes,yes,likely JS-rendered content | possible modal or overlay UI | physical magazine/newspaper subscription
chicago suntimes com,chicago.suntimes.com,https://subscribe.clarionledger.com/offers,common_path,no,no,
chicagotribune com,chicagotribune.com,https://subscription.chicagotribune.com/TemplateA?coupon=Promo%20Code,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
cincinnati com,cincinnati.com,https://subscribe.cincinnati.com/offers,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
clarionledger com,clarionledger.com,https://cm.clarionledger.com/about-your-subscription,homepage_link,no,yes,possible modal or overlay UI
cleveland com,cleveland.com,https://www.cleveland.com:443/subscribe,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
cnn com,cnn.com,https://www.cnn.com/subscription,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
coingecko com,coingecko.com,https://www.coingecko.com/en/premium/pricing,homepage_link,,,pricing page inaccessible (status=429)
cyclingnews com,cyclingnews.com,https://www.cyclingnews.com/subscription,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
dailycaller com,dailycaller.com,https://dailycaller.com/subscribe,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
dailykos com,dailykos.com,https://www.dailykos.com/subscribe,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
dailymail co uk,dailymail.co.uk,https://www.mailsubscriptions.co.uk/info/393633/get-more-from-the-daily-mail,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
dailystar co uk,dailystar.co.uk,https://www.reachsubs.co.uk/pc/STA,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI | physical magazine/newspaper subscription
dailywire com,dailywire.com,https://get.dailywire.com,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
dallasnews com,dallasnews.com,https://www.dallasnews.com/subscribe/join,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
deccanchronicle com,deccanchronicle.com,https://www.deccanchronicle.com/pricing,common_path,yes,yes,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
deraktionaer de,deraktionaer.de,https://www.boersenmedien.de/magazine/deraktionaer/einzelausgaben/1,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
deseret com,deseret.com,https://pages.deseret.com/subscribe,common_path,yes,no,likely JS-rendered content
desertsun com,desertsun.com,https://subscribe.desertsun.com/offers,homepage_link,no,yes,possible modal or overlay UI
detroitnews com,detroitnews.com,https://subscribe.detroitnews.com/offers,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
diepresse com,diepresse.com,https://abo.diepresse.com/produkt/epe0300_swa_ka_ab_digital_2/?utm_source=toc&utm_campaign=upselling&utm_medium=link,common_path,yes,yes,likely JS-rendered content | possible modal or overlay UI
