topics,domain_normalized,domain
"528,129,126,243,140",01net com,01net.com
245,021 rs,021.rs
243,0223 com ar,0223.com.ar
245,0352 ua,0352.ua
"239,243",06v1mv c97 org,06v1mv.c97.org
350,10 nbryb com,10.nbryb.com
"12,350",10bahisno1 com,10bahisno1.com
"365,363,243",13 cl,13.cl
"351,400",13dl to,13dl.to
"1,243",15min lt,15min.lt
"249,245",161 ru,161.ru
243,168 hu,168.hu
245,180graus com,180graus.com
243,1boonnews com,1boonnews.com
243,1news co nz,1news.co.nz
"365,363,12,243",1plus1 ua,1plus1.ua
561,1prime ru,1prime.ru
"299,325,243",1xbet whoscored com,1xbet.whoscored.com
350,2 nbryb com,2.nbryb.com
"1,243",20 detik com,20.detik.com
243,20min ch,20min.ch
243,20minutes fr,20minutes.fr
243,20minutos es,20minutos.es
"164,561",225225 jp,225225.jp
243,24 hu,24.hu
243,24 kg,24.kg
243,24 sapo pt,24.sapo.pt
"299,243",247sports com,247sports.com
243,24chasa bg,24chasa.bg
243,24h com vn,24h.com.vn
243,24horas cl,24horas.cl
243,24l7 news com,24l7-news.com
"243,1",24sata hr,24sata.hr
"245,249,561,1",24sedam rs,24sedam.rs
243,24smi org,24smi.org
"299,325,243",24sports com cy,24sports.com.cy
245,24tp pl,24tp.pl
243,24tv ua,24tv.ua
243,24ur com,24ur.com
"561,151,239",26 2 ru,26-2.ru
"299,304,243",2kmtcentral com,2kmtcentral.com
"304,299,243",2kratings com,2kratings.com
"250,243",2nn jp,2nn.jp
"350,23",2sao vn,2sao.vn
"86,254,350",3 nbryb com,3.nbryb.com
"299,243",365scores com,365scores.com
243,3bmeteo com,3bmeteo.com
"607,126,243",3c ltn com tw,3c.ltn.com.tw
"126,243",3dnews ru,3dnews.ru
"607,528,126,243",3edda com,3edda.com
243,3g 163 com,3g.163.com
"253,215,126,140,250,243",3ssem com,3ssem.com
243,444 hu,444.hu
243,47news ru,47news.ru
"126,243",4pda ru,4pda.ru
"126,243",4pda to,4pda.to
243,5 nbryb com,5.nbryb.com
"363,243",5 ua,5.ua
"363,299,243,1",515 tv,515.tv
"1,243",55online news,55online.news
"245,215,1",5692 com ua,5692.com.ua
245,59 ru,59.ru
245,5min at,5min.at
243,5nhaber com,5nhaber.com
243,61saat com,61saat.com
243,63 ru,63.ru
243,65ymas com,65ymas.com
"363,243",6abc com,6abc.com
243,6park com,6park.com
243,6parknews com,6parknews.com
"1,243",72 ru,72.ru
245,73online ru,73online.ru
245,74 ru,74.ru
245,76 ru,76.ru
350,7jours ca,7jours.ca
"299,243",7mscorethai com,7mscorethai.com
243,7news com au,7news.com.au
243,7sur7 be,7sur7.be
"299,243",888scoreonline com,888scoreonline.com
243,8world com,8world.com
"86,254,350",9 nbryb com,9.nbryb.com
247,902 gr,902.gr
"299,243",90bola me,90bola.me
"299,325,243",90bola mobi,90bola.mobi
"299,325,243",90min com,90min.com
"325,299,243",90minut pl,90minut.pl
"299,243",91phut com,91phut.com
243,93 ru,93.ru
"365,12,363,350",9jarocks com,9jarocks.com
243,9news com,9news.com
243,9news com au,9news.com.au
"126,243",9to5google com,9to5google.com
"140,126,243",9to5mac com,9to5mac.com
243,9tv co il,9tv.co.il
243,a1 ro,a1.ro
243,a24 com,a24.com
243,aa com tr,aa.com.tr
243,aabbir com,aabbir.com
"245,243",aachener zeitung de,aachener-zeitung.de
243,aajtak in,aajtak.in
"363,243,1",aamulehti fi,aamulehti.fi
561,aastocks com,aastocks.com
243,aawsat com,aawsat.com
243,abc com py,abc.com.py
243,abc es,abc.es
"245,363",abc11 com,abc11.com
"245,243",abc13 com,abc13.com
"245,363",abc7 com,abc7.com
243,abc7chicago com,abc7chicago.com
"363,245",abc7ny com,abc7ny.com
"164,561",abcbourse com,abcbourse.com
"363,243",abcnews go com,abcnews.go.com
243,abcnyheter no,abcnyheter.no
"245,243",abendblatt de,abendblatt.de
"245,243",abendzeitung muenchen de,abendzeitung-muenchen.de
"245,289",abkhaz auto ru,abkhaz-auto.ru
"299,243",abola pt,abola.pt
243,abplive com,abplive.com
561,abr business gov au,abr.business.gov.au
"245,561,243",ac24horas com,ac24horas.com
"304,299,243",acb com,acb.com
"215,243,1",account bbc com,account.bbc.com
243,accuweather com,accuweather.com
243,aceh tribunnews com,aceh.tribunnews.com
243,achkayen com,achkayen.com
"249,1",acidadeon com,acidadeon.com
243,aciprensa com,aciprensa.com
"247,1",acn gclub168 com,acn.gclub168.com
"245,23",acordacidade com br,acordacidade.com.br
350,action newsbg eu,action-newsbg.eu
"299,243",actionnetwork com,actionnetwork.com
"96,350",activa sapo pt,activa.sapo.pt
243,activebeat com,activebeat.com
243,activenews ro,activenews.ro
243,actu fr,actu.fr
"531,243",actu orange fr,actu.orange.fr
243,actualidad rt com,actualidad.rt.com
243,actualite lachainemeteo com,actualite.lachainemeteo.com
243,actualno com,actualno.com
243,actucameroun com,actucameroun.com
350,ad nl,ad.nl
"299,325,243",ada1bank mlsz hu,ada1bank.mlsz.hu
243,adanaseshaber com,adanaseshaber.com
"299,325,243",adatbank mlsz hu,adatbank.mlsz.hu
"96,400,462",adaymag com,adaymag.com
243,adelaidenow com au,adelaidenow.com.au
243,adevarul ro,adevarul.ro
"350,243,1",adme media,adme.media
243,adnkronos com,adnkronos.com
"243,23",adnradio cl,adnradio.cl
245,adnsur com ar,adnsur.com.ar
"126,243",adrenaline com br,adrenaline.com.br
243,adressa no,adressa.no
"215,243,1",adsforcomputercity com,adsforcomputercity.com
"227,243",adt arcanum com,adt.arcanum.com
"299,243",aek365 org,aek365.org
"239,243",aemet es,aemet.es
"254,243",afamily vn,afamily.vn
243,afera bg,afera.bg
243,affaritaliani it,affaritaliani.it
243,afkarnews com,afkarnews.com
"322,299,243",afl com au,afl.com.au
243,afpbb com,afpbb.com
"561,149",afr com,afr.com
243,africaguinee com,africaguinee.com
"299,325,243",afriquesports net,afriquesports.net
243,aftabnews ir,aftabnews.ir
"245,243",aftenbladet no,aftenbladet.no
243,aftenposten no,aftenposten.no
243,aftershock news,aftershock.news
243,aftonbladet se,aftonbladet.se
